,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
43,$27.50 /hr (est.),57200.0,Help Desk Specialist Level 1,-1,-1,-1,"Mantek Solutions
5.0","Commerce, CA",5.0,0,50,1 to 50 Employees,1973,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.8,5.0,4.8,5.0,4.8,2023-05-22 02:27:01.656551,hr
44,"$84,645 /yr (est.)",84645.0,Full Stack Developer,0,2,-1,Epic Solutions Consultant,Dallas-Fort Worth,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 02:27:03.628650,yr
45,"$82,500 /yr (est.)",82500.0,Support Engineer,0,1,1,"Skytap
3.8",Remote,3.8,1,17,51 to 200 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.5,3.8,3.8,3.8,4.0,2023-05-22 02:27:08.883955,yr
46,"$73,500 /yr (est.)",73500.0,Computing Support Analyst 1,0,1,1,"Stanford University
4.3","Redwood City, CA",4.3,0,132,10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD),4.2,3.6,4.1,3.8,3.8,2023-05-22 02:27:12.299268,yr
47,"$51,292 /yr (est.)",51292.0,IT Help Desk Technician,0,1,-1,"Brivo
4.4","Bethesda, MD",4.4,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4.3,4.2,4.5,4.3,4.5,2023-05-22 02:27:15.509362,yr
49,"$69,723 /yr (est.)",69723.0,IT Support Associate,3,1,0,"ACLU
3.6","New York, NY",3.6,0,103,201 to 500 Employees,1920,Nonprofit Organization,Membership Organizations,Management & Consulting,$25 to $100 million (USD),3.4,4.2,3.2,3.4,3.3,2023-05-22 02:27:23.769129,yr
50,"$68,493 /yr (est.)",68493.0,IT Analyst,5,1,0,"Chromalloy
3.6","Newnan, GA",3.6,0,69,1001 to 5000 Employees,1954,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.5,3.4,3.5,3.5,3.3,2023-05-22 02:27:27.030070,yr
52,"$47,500 /yr (est.)",47500.0,IT Technician,2,1,0,"ARM GROUP LLC
4.1","Hummelstown, PA",4.1,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.6,3.9,3.5,3.1,2023-05-22 02:27:35.059622,yr
53,"$99,075 /yr (est.)",99075.0,Sr. Desktop Support Engineer,5,1,1,"Electronic Arts
4.0","Los Angeles, CA",4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-05-22 02:27:39.543768,yr
54,"$62,500 /yr (est.)",62500.0,I.T. Support Engineer,2,2,1,"Cyemptive Technologies
3.8","Everett, WA",3.8,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.4,3.6,3.3,4.1,2023-05-22 02:27:42.973319,yr
55,"$57,000 /yr (est.)",57000.0,IT Service Desk Analyst,3,1,-1,"Crane Currency
3.2","Alpharetta, GA",3.2,0,222,1001 to 5000 Employees,1801,Company - Public,Consumer Product Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.0,3.4,3.2,3.0,3.3,2023-05-22 02:27:47.410859,yr
56,"$87,412 /yr (est.)",87412.0,Frontend Engineer (Junior Frontend Developer),-1,-1,-1,"Sangoma
3.4","San Diego, CA",3.4,0,39,201 to 500 Employees,1984,Company - Public,Telecommunications Services,Telecommunications,$100 to $500 million (USD),3.4,3.2,3.2,3.0,3.4,2023-05-22 02:27:51.038700,yr
57,"$58,169 /yr (est.)",58169.0,Sr Desktop Support Analyst,5,1,1,"HCA Healthcare
3.3","Nashville, TN",3.3,0,55,10000+ Employees,1968,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.5,3.2,3.3,3.0,3.2,2023-05-22 02:27:53.790541,yr
59,$27.50 /hr (est.),57200.0,Help Desk Specialist Level 1,3,1,0,"Mantek Solutions
5.0","Commerce, CA",5.0,0,50,1 to 50 Employees,1973,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.8,5.0,4.8,5.0,4.8,2023-05-22 02:28:10.790317,hr
60,$27.50 /hr (est.),57200.0,Service Desk IT Support Specialist,3,1,1,"Hanger, Inc.
3.5",Remote,3.5,1,162,5001 to 10000 Employees,1861,Company - Private,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.3,3.5,3.2,3.5,2023-05-22 02:28:14.256105,hr
61,"$57,500 /yr (est.)",57500.0,IT Support Specialist,1,1,0,"Atelier Ten
4.2","New York, NY",4.2,0,33,201 to 500 Employees,1990,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.7,3.4,3.8,3.5,3.7,2023-05-22 02:28:17.101219,yr
62,"$71,500 /yr (est.)",71500.0,"IT Support Admin, I",0,1,1,"Synopsys
4.1","Mountain View, CA",4.1,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.8,4.1,3.8,4.0,2023-05-22 02:28:20.631861,yr
63,"$73,500 /yr (est.)",73500.0,Computing Support Analyst 1,0,1,1,"Stanford University
4.3","Redwood City, CA",4.3,0,132,10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD),4.2,3.6,4.1,3.8,3.8,2023-05-22 02:28:24.200455,yr
64,$32.50 /hr (est.),67600.0,IT Support Technician,2,1,1,"Spring Fertility
3.6","New York, NY",3.6,0,7,201 to 500 Employees,2016,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $25 million (USD),3.7,3.4,3.7,3.3,3.4,2023-05-22 02:28:27.767368,hr
65,"$45,000 /yr (est.)",45000.0,IT Technician,3,1,-1,"Camden County College
3.6",New Jersey,3.6,0,56,501 to 1000 Employees,1967,College / University,Colleges & Universities,Education,$25 to $100 million (USD),2.9,2.8,3.4,2.9,3.6,2023-05-22 02:28:31.603677,yr
67,$30.00 /hr (est.),62400.0,IT Support Specialist,1,1,0,"Blue Summit Technologies, Inc.","New York, NY",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 02:28:43.096548,hr
68,"$51,292 /yr (est.)",51292.0,IT Help Desk Technician,0,1,-1,"Brivo
4.4","Bethesda, MD",4.4,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4.3,4.2,4.5,4.3,4.5,2023-05-22 02:28:49.356258,yr
69,$26.00 /hr (est.),54080.0,Help Desk Technician,2,2,1,"Parasol Alliance
4.1","McLean, VA",4.1,0,8,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,4.1,4.4,4.1,4.2,2023-05-22 02:28:53.410502,hr
70,"$56,534 /yr (est.)",56534.0,Quality Assurance Analyst,0,1,-1,"Dee's Solutions
5.0","Rockwall, TX",5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,5.0,5.0,5.0,2023-05-22 02:28:56.850485,yr
71,$57.50 /hr (est.),119600.0,QA Test Engineer,8,2,-1,"Ghritachi Inc
5.0","New York, NY",5.0,0,2,1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),5.0,5.0,5.0,5.0,5.0,2023-05-22 02:29:00.647345,hr
72,"$71,970 /yr (est.)",71970.0,IT Associate Systems Engineer,0,1,1,"EVERSOURCE
3.6","Berlin, CT",3.6,0,57,5001 to 10000 Employees,1966,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.7,4.1,3.3,3.2,3.1,2023-05-22 02:29:04.094964,yr
73,$40.29 /hr (est.),83803.2,"(2) IT Field Support Technician (Infrastructure Specialist 2)- 20067064, 20083020",0,1,0,"State of Ohio Jobs
3.5","Columbus, OH",3.5,0,220,10000+ Employees,1803,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.5,3.8,3.1,2.7,3.5,2023-05-22 02:29:07.541429,hr
