,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
28,Data Science (AI/ML),,-1,-1,-1,"Dallas, TX",0,501 to 1000 Employees,4,2004,19,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.9,3.8,3.7,3.9,3.6,3.9,Anblicks,2023-05-11 13:41:25.888745
29,data scientist - multiple openings,,3,BACHELOR,SENIOR,United States,0,10000+ Employees,7,1971,52,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),9,Company - Public,3.7,3.5,3.8,3.7,3.1,3.4,Starbucks,2023-05-11 13:41:28.220150
30,Junior AI Engineer,,1,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,Octo,2023-05-11 13:41:35.399298
31,Azure Data Engineer,,4,MASTER,-1,"Dallas, TX",0,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,Sunixa Solutions,2023-05-11 13:41:38.698095
32,Data Scientist,,5,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,Octo,2023-05-11 13:41:41.082197
33,Data Science Co-op,,-1,BACHELOR,JUNIOR,"Danvers, MA",0,1001 to 5000 Employees,5,1981,42,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),6,Company - Public,3.6,3.8,3.7,3.6,3.3,2.9,Abiomed,2023-05-11 13:41:43.099785
34,Data Scientist,,4,BACHELOR,SENIOR,Remote,1,1001 to 5000 Employees,5,1999,24,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.1,3.2,3.0,3.4,2.8,3.4,Overstock.com Inc.,2023-05-11 13:41:45.458141
35,Data Scientist,,3,BACHELOR,SENIOR,Remote,1,10000+ Employees,7,2011,12,Other Retail Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.2,2.5,3.1,3.1,2.6,3.6,Stitch Fix,2023-05-11 13:41:47.954729
36,Data Scientist - Hybrid Remote,,3,BACHELOR,SENIOR,"New York, NY",0,1001 to 5000 Employees,5,2010,13,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),7,Company - Public,4.2,3.8,4.1,4.2,4.1,4.1,Sharecare,2023-05-11 13:41:50.326071
37,Associate Data Engineer,,160,BACHELOR,JUNIOR,"Hartford, CT",0,10000+ Employees,7,1853,170,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Public,4.0,4.1,4.1,4.1,3.8,3.9,"The Travelers Companies, Inc.",2023-05-11 13:41:52.519210
38,Data Engineer,,3,MASTER,-1,United States,0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.2,4.2,4.0,4.4,4.2,4.2,Sadup Softech,2023-05-11 13:41:55.162670
39,"Lead, Data Analyst",,2,BACHELOR,SENIOR,Remote,1,1001 to 5000 Employees,5,2006,17,Software Development,Information Technology,$100 to $500 million (USD),6,Company - Public,4.2,4.2,3.8,4.4,4.1,4.4,AppFolio,2023-05-11 13:41:57.435707
40,"Manager, Data Science & Analytics",,5,BACHELOR,-1,United States,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,FedEx Dataworks,2023-05-11 13:41:59.403573
41,Data Scientist,,3,BACHELOR,JUNIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,National Consulting Partners,2023-05-11 13:42:01.246002
42,Statistical Analyst I,,150,MASTER,-1,"Schaumburg, IL",0,10000+ Employees,7,1872,151,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Private,4.2,3.8,4.0,4.2,3.8,4.1,Zurich Insurance,2023-05-11 13:42:03.357944
43,"Data Scientist, Product Analytics",,3,MASTER,SENIOR,Remote,1,51 to 200 Employees,2,2013,10,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),4,Company - Private,4.5,4.3,4.2,4.5,4.2,4.5,"Gametime United, Inc.",2023-05-11 13:42:05.874733
44,-1,,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2023-05-11 13:42:08.557699
45,Jr Data Scientist,,2,BACHELOR,-1,"Iselin, NJ",0,51 to 200 Employees,2,2010,13,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.9,3.9,3.5,4.0,3.9,3.9,Veracity Software,2023-05-11 13:42:10.002470
46,Data Scientist,,-1,BACHELOR,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,FameArch,2023-05-11 13:42:13.257271
47,Data Scientist,,5,BACHELOR,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LookFar Labs,2023-05-11 13:42:15.059543
48,Data Analyst,,-1,BACHELOR,-1,"Falls Church, VA",0,51 to 200 Employees,2,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Contract,4.3,3.7,3.6,4.5,3.9,4.5,Tesla Government,2023-05-11 13:42:17.322404
49,Senior Data Analyst,,8,MASTER,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Zora,2023-05-11 13:42:19.681786
50,Director Data Science,,-1,BACHELOR,SENIOR,Remote,1,1001 to 5000 Employees,5,1935,88,Banking & Lending,Financial Services,$1 to $5 billion (USD),7,Subsidiary or Business Segment,3.6,3.3,3.3,3.4,3.3,3.5,Webster Financial Corp,2023-05-11 13:42:21.644698
51,AI/ML Engineer,,2,BACHELOR,-1,Dallas-Fort Worth,0,5001 to 10000 Employees,6,2000,23,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,3.6,3.1,3.4,3.5,3.0,3.7,Avaya,2023-05-11 13:42:23.909899
52,Data Engineer,,3,BACHELOR,-1,Remote,1,1001 to 5000 Employees,5,1997,26,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.6,4.4,4.1,4.6,4.4,4.5,DataArt,2023-05-11 13:42:26.583740
53,MLOps/Machine Learning Engineer,,10,BACHELOR,SENIOR,Remote,1,201 to 500 Employees,3,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.7,4.4,4.3,4.6,4.4,4.5,Kani Solutions Inc.,2023-05-11 13:42:29.229788
54,Sr. Data Engineer 18029,,5,BACHELOR,JUNIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,Collaborative Mind LLC,2023-05-11 13:42:31.855536
55,Data Scientist,,5,BACHELOR,SENIOR,"Burlingame, CA",0,1 to 50 Employees,1,2015,8,Computer Hardware Development,Information Technology,$1 to $5 million (USD),2,Company - Private,4.4,4.4,4.4,4.3,4.2,4.1,Focal Systems,2023-05-11 13:42:34.326199
56,Data Scientist (Remote),,3,BACHELOR,-1,Remote,1,10000+ Employees,7,1944,79,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),7,Company - Public,3.9,3.7,3.7,3.8,3.5,3.8,Parsons,2023-05-11 13:42:36.684417
57,Data Engineer,,2,MASTER,SENIOR,Remote,1,201 to 500 Employees,3,1978,45,Education & Training Services,Education,Unknown / Non-Applicable,-1,Company - Private,4.0,3.5,3.8,4.1,3.6,4.3,O'Reilly Media,2023-05-11 13:42:39.146722
58,Data Engineer - Data Science & Analytics,,5,BACHELOR,-1,"Dallas, TX",0,10000+ Employees,7,1976,47,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Public,4.0,3.9,4.3,3.8,3.4,3.3,Costco Wholesale,2023-05-11 13:42:41.699140
59,"AI Architect | REMOTE | Data Science, AI/ML, R",,8,MASTER,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Sciprex,2023-05-11 13:42:45.004389
60,Junior AI Engineer,,1,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,Octo,2023-05-11 13:42:51.106515
61,Associate Data Engineer,,160,BACHELOR,JUNIOR,"Hartford, CT",0,10000+ Employees,7,1853,170,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Public,4.0,4.1,4.1,4.1,3.8,3.9,"The Travelers Companies, Inc.",2023-05-11 13:42:54.537636
62,Data Scientist,,4,BACHELOR,SENIOR,Remote,1,1001 to 5000 Employees,5,1999,24,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.1,3.2,3.0,3.4,2.8,3.4,Overstock.com Inc.,2023-05-11 13:43:00.959059
63,Data Scientist - Hybrid Remote,,3,BACHELOR,SENIOR,"New York, NY",0,1001 to 5000 Employees,5,2010,13,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),7,Company - Public,4.2,3.8,4.1,4.2,4.1,4.1,Sharecare,2023-05-11 13:43:03.880992
64,MLOps/Machine Learning Engineer,,10,BACHELOR,SENIOR,Remote,1,201 to 500 Employees,3,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.7,4.4,4.3,4.6,4.4,4.5,Kani Solutions Inc.,2023-05-11 13:43:06.868053
65,Data Scientist,,5,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,Octo,2023-05-11 13:43:10.408586
66,Data Engineer - Data Science & Analytics,,5,BACHELOR,-1,"Dallas, TX",0,10000+ Employees,7,1976,47,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Public,4.0,3.9,4.3,3.8,3.4,3.3,Costco Wholesale,2023-05-11 13:43:14.042780
67,Data Science Co-op,,-1,BACHELOR,JUNIOR,"Danvers, MA",0,1001 to 5000 Employees,5,1981,42,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),6,Company - Public,3.6,3.8,3.7,3.6,3.3,2.9,Abiomed,2023-05-11 13:43:18.192125
68,Senior Data Analyst,,8,MASTER,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Zora,2023-05-11 13:43:21.898738
69,Senior Data Engineer,,5,MASTER,SENIOR,"Atlanta, GA",0,1001 to 5000 Employees,5,1901,122,Insurance Carriers,Insurance,$1 to $5 billion (USD),7,Company - Public,4.1,3.8,3.9,4.2,3.8,4.1,Hiscox,2023-05-11 13:43:24.634479
70,Sr. Data Visualization Engineer (Remote),,60,BACHELOR,SENIOR,"Brea, CA",0,1001 to 5000 Employees,5,1961,62,Insurance Carriers,Insurance,$1 to $5 billion (USD),7,Company - Public,3.5,3.5,3.4,3.7,3.4,3.4,Mercury Insurance,2023-05-11 13:43:28.715670
71,Senior Data Engineer,,5,BACHELOR,SENIOR,"Dallas, TX",0,1001 to 5000 Employees,5,-1,-1,Rail Transportation,Transportation & Logistics,$1 to $5 billion (USD),7,Company - Public,3.7,3.5,3.6,3.5,3.8,2.6,Brado,2023-05-11 13:43:31.983599
72,Data Science Engineer,,-1,-1,-1,"Herndon, VA",0,Unknown,-1,-1,-1,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,2.6,4.0,4.0,3.0,4.0,3.0,-1,2023-05-11 13:43:34.781797
73,Data Science Engineer,,-1,BACHELOR,SENIOR,"Irvine, CA",0,501 to 1000 Employees,4,2012,11,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4,Company - Private,3.3,3.3,3.1,3.0,3.0,3.0,Smart Energy Water,2023-05-11 13:43:37.794691
74,"Data Scientist, Product Analytics",,3,MASTER,SENIOR,Remote,1,51 to 200 Employees,2,2013,10,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),4,Company - Private,4.5,4.3,4.2,4.5,4.2,4.5,"Gametime United, Inc.",2023-05-11 13:43:40.234300
75,Data Scientist (All Levels),,3,BACHELOR,JUNIOR,"Reston, VA",0,1001 to 5000 Employees,5,1996,27,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Nonprofit Organization,4.5,4.1,4.0,4.5,4.2,4.5,Noblis,2023-05-11 13:43:43.402766
76,Data Scientist (Remote),,3,BACHELOR,-1,Remote,1,10000+ Employees,7,1944,79,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),7,Company - Public,3.9,3.7,3.7,3.8,3.5,3.8,Parsons,2023-05-11 13:43:46.480131
77,Data Scientist III Data Science,,-1,BACHELOR,SENIOR,"Downey, CA",0,10000+ Employees,7,1945,78,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),9,Nonprofit Organization,3.9,3.7,4.3,3.6,3.2,3.5,Kaiser Permanente,2023-05-11 13:43:48.891785
78,Data Science Educator - Python (Full Time),,-1,BACHELOR,-1,Remote,1,51 to 200 Employees,2,2013,10,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),1,Company - Private,4.9,4.4,4.7,5.0,4.8,4.8,RStudio,2023-05-11 13:43:51.240820
79,Senior Data Science QA Engineer,,8,MASTER,SENIOR,Remote,1,1001 to 5000 Employees,5,1983,40,Internet & Web Services,Information Technology,$1 to $5 billion (USD),7,Company - Private,3.7,3.2,3.5,3.8,3.2,4.1,Ancestry,2023-05-11 13:43:54.926072
80,Data Scientist,,5,BACHELOR,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LookFar Labs,2023-05-11 13:43:57.330445
81,Data Engineer,,3,BACHELOR,-1,Remote,1,1001 to 5000 Employees,5,1997,26,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.6,4.4,4.1,4.6,4.4,4.5,DataArt,2023-05-11 13:43:59.429918
82,Data Science Engineer,,3,MASTER,-1,"Boston, MA",0,10000+ Employees,7,2006,17,Investment & Asset Management,Financial Services,$5 to $10 billion (USD),8,Company - Private,3.9,3.5,3.5,3.9,3.5,4.0,Natixis Investment Managers,2023-05-11 13:44:02.021684
83,Data Analytics Analyst,,3,BACHELOR,SENIOR,"Worcester, MA",0,10000+ Employees,7,1997,26,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),7,Hospital,3.8,3.9,3.9,3.7,3.4,3.7,UMass Memorial Health,2023-05-11 13:44:04.322044
84,Data Engineer,,3,MASTER,-1,United States,0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.2,4.2,4.0,4.4,4.2,4.2,Sadup Softech,2023-05-11 13:44:06.655763
85,Data Scientist,,3,BACHELOR,-1,Remote,1,1 to 50 Employees,1,2007,16,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.4,3.0,3.0,3.6,2.7,3.4,Medicx Health,2023-05-11 13:44:09.570004
86,DATA SCIENCE ANALYST,,3,BACHELOR,SENIOR,"Evansville, IN",0,1001 to 5000 Employees,5,1834,189,Banking & Lending,Financial Services,$500 million to $1 billion (USD),7,Company - Public,3.3,3.3,3.3,3.5,3.1,3.7,Old National Bank,2023-05-11 13:44:13.561148
87,Data Science Engineer,,-1,MASTER,-1,"Farmington Hills, MI",0,1 to 50 Employees,1,2000,23,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),2,Company - Private,4.4,4.3,4.5,4.5,4.5,4.5,SunSoft Technologies,2023-05-11 13:44:16.111504
88,Analytics & Data Science,,5,BACHELOR,-1,"Dallas, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Pournader & Company,2023-05-11 13:44:18.643564
89,Data Scientist,,-1,MASTER,-1,"Reston, VA",0,201 to 500 Employees,3,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Silver Edge,2023-05-11 13:44:20.438482
90,Junior AI Engineer,,1,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,Octo,2023-05-11 13:44:26.068368
91,Data Scientist,,4,BACHELOR,SENIOR,Remote,1,1001 to 5000 Employees,5,1999,24,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.1,3.2,3.0,3.4,2.8,3.4,Overstock.com Inc.,2023-05-11 13:44:28.892707
92,BUSINESS INTELLIGENCE ANALYST I,,-1,BACHELOR,-1,"Columbia, MO",0,5001 to 10000 Employees,6,1956,67,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),7,Hospital,3.4,3.6,3.4,3.3,2.8,3.1,MU Health Care,2023-05-11 13:44:31.535640
93,Data Engineer (7564D),,5,BACHELOR,-1,"Dallas, TX",0,10000+ Employees,7,1976,47,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Public,4.0,3.9,4.3,3.8,3.4,3.3,Costco Wholesale,2023-05-11 13:44:34.609853
94,Data Scientist,,5,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,Octo,2023-05-11 13:44:39.134619
95,Data Science Engineer,,-1,MASTER,-1,"Farmington Hills, MI",0,1 to 50 Employees,1,2000,23,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),2,Company - Private,4.4,4.3,4.5,4.5,4.5,4.5,SunSoft Technologies,2023-05-11 13:44:41.955745
96,Data Science Co-op,,-1,BACHELOR,JUNIOR,"Danvers, MA",0,1001 to 5000 Employees,5,1981,42,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),6,Company - Public,3.6,3.8,3.7,3.6,3.3,2.9,Abiomed,2023-05-11 13:44:45.079920
97,"Co-Op, Data Science (Hybrid)",,-1,BACHELOR,SENIOR,"Acton, MA",0,1001 to 5000 Employees,5,2000,23,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),7,Company - Public,3.8,3.7,3.9,3.9,3.5,3.6,Insulet Corporation,2023-05-11 13:44:47.856016
98,Analyst - Analytics and Data Science,,3,BACHELOR,SENIOR,United States,0,1001 to 5000 Employees,5,1939,84,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,Nonprofit Organization,4.2,3.9,4.0,4.3,4.0,4.0,Blue Cross Blue Shield of Arizona,2023-05-11 13:44:51.078754
99,Statistical Analyst I,,150,MASTER,-1,"Schaumburg, IL",0,10000+ Employees,7,1872,151,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Private,4.2,3.8,4.0,4.2,3.8,4.1,Zurich Insurance,2023-05-11 13:44:54.346666
