,Job Title,Annual Salary,Experience,Education,Position,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
248,Data Scientist,107500.0,3,BACHELOR,JUNIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
252,"Data Scientist, Product Analytics",137500.0,3,MASTER,SENIOR,1,2,10,4,4.5,4.3,4.2,4.5,4.2,4.5
255,Data Scientist,221500.0,3,BACHELOR,SENIOR,1,7,12,7,3.2,2.5,3.1,3.1,2.6,3.6
260,Data Scientist - Hybrid Remote,140000.0,3,BACHELOR,SENIOR,0,5,13,7,4.2,3.8,4.1,4.2,4.1,4.1
261,Data Scientist,100000.0,2,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
262,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
269,Statistical Analyst I,65910.0,3,BACHELOR,SENIOR,0,7,151,9,4.2,3.8,4.0,4.2,3.8,4.1
276,Data Scientist (All Levels),115100.0,3,BACHELOR,JUNIOR,0,5,27,6,4.5,4.1,4.0,4.5,4.2,4.5
288,Analyst - Analytics and Data Science,70000.0,3,BACHELOR,SENIOR,0,5,84,-1,4.2,3.9,4.0,4.3,4.0,4.0
293,Data Scientist,107500.0,3,BACHELOR,JUNIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
306,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
308,Data Scientist,99000.0,4,BACHELOR,SENIOR,1,5,24,7,3.1,3.2,3.0,3.4,2.8,3.4
318,Senior Data Engineer,155000.0,5,MASTER,SENIOR,0,5,122,7,4.1,3.8,3.9,4.2,3.8,4.1
326,"Data Scientist, Product Analytics",137500.0,3,MASTER,SENIOR,1,2,10,4,4.5,4.3,4.2,4.5,4.2,4.5
333,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
335,Data Science Associate,97500.0,1,BACHELOR,JUNIOR,0,1,8,-1,4.4,4.5,4.6,4.1,4.1,4.6
348,Senior Data Engineer,155000.0,5,MASTER,SENIOR,0,5,122,7,4.1,3.8,3.9,4.2,3.8,4.1
