,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
198,"$70,000 /yr (est.)",70000.0,Data Engineer (PAID BOOTCAMP),1,1,-1,"PCS GLOBAL TECH
4.7", NY,4.7,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.5,4.6,4.6,4.2,2023-05-23 17:08:56.513922,yr
199,"$108,898 /yr (est.)",108898.0,Big Data Engineer,0,2,1,"Alt Shift USA
4.0", TX,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.6,4.0,4.0,4.0,2023-05-23 17:09:00.452743,yr
200,$72.50 /hr (est.),150800.0,Data Warehouse Engineer,-1,-1,-1,"Devcare Solutions
3.7", PA,3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-23 17:09:04.262876,hr
201,"$150,000 /yr (est.)",150000.0,Senior Engineer Big Data,5,1,1,"Amex
4.2", AZ,4.2,0,173,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),3.9,4.0,4.3,3.9,4.1,2023-05-23 17:09:08.087990,yr
202,"$106,696 /yr (est.)",106696.0,Data Engineer,5,1,-1,"InfoQuest Consulting Group Inc.
4.5", PA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.1,4.5,4.3,3.1,2023-05-23 17:09:12.211082,yr
203,$75.00 /hr (est.),156000.0,Databricks Data Engineer,7,1,-1,"BigLynx Computer Software
4.9", WA,4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.8,4.9,4.8,2023-05-23 17:09:26.519014,hr
204,$43.38 /hr (est.),90230.4,Data Engineer,10,1,1,"Infomatics Corp
4.7",Remote,4.7,1,18,51 to 200 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.7,4.5,4.6,4.6,4.6,2023-05-23 17:09:31.345781,hr
205,$75.00 /hr (est.),156000.0,AWS Data Engineer(Tech Lead),8,2,1,"BigLynx Computer Software
4.9", WA,4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.8,4.9,4.8,2023-05-23 17:09:34.532298,hr
206,"$96,680 /yr (est.)",96680.0,Data Engineer,3,1,1,"AvidXchange
3.7", CA,3.7,0,23,1001 to 5000 Employees,2000,Company - Public,Software Development,Information Technology,$100 to $500 million (USD),3.7,3.6,3.8,3.4,3.9,2023-05-23 17:09:39.485401,yr
207,$86.00 /hr (est.),178880.0,Senior Big Data Engineer,3,1,-1,"ASA
3.6", TX,3.6,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),3.6,3.4,3.5,3.6,3.5,2023-05-23 17:09:42.766015,hr
