,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit
72,$47.50 /hr (est.),98800.0,QA Automation Tester,5,1,-1,BUZZCLAN LLC,"Durham, NC",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
73,"$60,356 /yr (est.)",60356.0,QA TESTER,0,1,-1,Buildable,"McMinnville, OR",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
74,"$70,941 /yr (est.)",70941.0,QA Manual Tester (Banking),3,1,-1,"RD Solutions
4.4","Las Vegas, NV",4.4,0,-1,-1,-1,-1,-1,-1,-1,4.2,3.2,4.2,3.2,4.6,yr
77,"$96,413 /yr (est.)",96413.0,Senior Test Automation Engineer,5,1,1,"Artemis Consulting, Inc.
4.2","Atlanta, GA",4.2,0,24,51 to 200 Employees,1999,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.9,4.0,4.0,4.1,4.1,yr
78,"$71,623 /yr (est.)",71623.0,IT QA/QC Analyst,2,1,-1,"Skanska USA
4.2","Charlotte, NC",4.2,0,36,10000+ Employees,1987,Company - Public,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.9,3.9,4.2,3.8,3.9,yr
79,$57.50 /hr (est.),119600.0,QA Engineer –Remote,0,2,-1,"Aries Solutions
4.3",Remote,4.3,1,-1,-1,-1,-1,-1,-1,-1,4.3,4.0,4.3,4.3,4.3,hr
80,"$83,899 /yr (est.)",83899.0,QA Engineer,0,1,-1,"I5 TECH
3.3","Edison, NJ",3.3,0,-1,-1,-1,-1,-1,-1,-1,3.3,2.9,3.1,3.3,2.8,yr
81,$28.00 /hr (est.),58240.0,CONTRACT - Technical Tester (Manual/Web QA),0,1,-1,"Nintendo
4.5","Redmond, WA",4.5,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.1,4.3,4.0,3.9,hr
82,$60.00 /hr (est.),124800.0,QA Automation Engineer/SDET,0,1,-1,"Tekfortune Inc
4.6","Haigler, NE",4.6,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.2,4.4,4.3,4.6,hr
83,$29.29 /hr (est.),60923.2,QA Analyst,2,2,1,IT Heroes,"Florida, NY",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
88,$46.00 /hr (est.),95680.0,QA Tester Tosca,10,2,1,"Devcare Solutions
3.7","Durham, NC",3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,hr
93,"$87,500 /yr (est.)",87500.0,Test Engineer,5,1,-1,"Valley Services Electronics (VSE)
5.0","San Jose, CA",5.0,0,42,51 to 200 Employees,1981,Company - Private,Electronics Manufacturing,Manufacturing,$25 to $100 million (USD),-1.0,-1.0,-1.0,-1.0,-1.0,yr
94,"$86,669 /yr (est.)",86669.0,QA Tester,0,2,-1,"OPULENTSOFT
5.0","San Jose, CA",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,yr
95,"$96,493 /yr (est.)",96493.0,QA Engineer,1,2,1,"Trood
5.0","New York, NY",5.0,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.4,5.0,4.4,5.0,yr
97,"$80,000 /yr (est.)",80000.0,-1,-1,-1,-1,-1,"Farmington, CT",3.4,0,28,201 to 500 Employees,1995,Company - Private,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),2.7,3.1,3.2,3.5,3.3,yr
98,$31.25 /hr (est.),65000.0,Manual Tester,10,2,1,"Purple Drive Technologies
4.2","Los Angeles, CA",4.2,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.7,4.0,4.0,4.2,hr
102,$42.50 /hr (est.),88400.0,QA Tester(Remote),3,1,-1,"Lakarya LLC
5.0",Remote,5.0,1,8,1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.8,5.0,5.0,5.0,4.7,hr
104,"$69,191 /yr (est.)",69191.0,QA Analyst,2,1,-1,"Scandinavian Tobacco Group
3.9","Bethlehem, PA",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.5,4.0,3.6,3.4,3.9,yr
106,"$54,723 /yr (est.)",54723.0,Jr. Software Tester,1,2,1,"Error-Free
2.0","Solana Beach, CA",2.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.0,4.0,3.0,4.0,yr
107,"$67,500 /yr (est.)",67500.0,Entry Level Software Test Engineer,1,1,-1,"BeaconFire Solution
3.8","East Windsor, NJ",3.8,0,6,1 to 50 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,2.9,3.5,3.5,3.5,yr
108,$63.50 /hr (est.),132080.0,QA Test Manager,8,2,0,Gerbera technologies INC,"Dallas, TX",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
113,"$87,250 /yr (est.)",87250.0,ETL Test Analyst,0,2,1,"AppTad
4.4","Westlake, TX",4.4,0,10,201 to 500 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.4,4.1,4.2,4.4,4.2,yr
117,"$78,231 /yr (est.)",78231.0,QA Engineers,0,1,-1,"Leothundra
4.0","La Palma, CA",4.0,0,11,1 to 50 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),3.5,2.7,2.2,4.0,4.0,yr
121,"$73,712 /yr (est.)",73712.0,Quality Assurance Engineer (Remote),5,1,1,"Arlluk Technology Solutions
4.1","Chantilly, VA",4.1,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.2,4.3,4.0,4.2,yr
123,"$75,000 /yr (est.)",75000.0,QA Engineer,0,1,-1,"Josh.ai
4.3","Denver, CO",4.3,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.3,4.2,4.2,3.8,yr
124,"$74,830 /yr (est.)",74830.0,ENTRY / JUNIOR LEVEL SQA ENGINEER,2,1,0,"embedUR systems
4.2","Fremont, CA",4.2,0,19,201 to 500 Employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.8,3.3,3.4,3.3,2.8,yr
