,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit
29,"$93,948 /yr (est.)",93948.0,Automation Tester - Remote,3,1,-1,"Cognosante, LLC
4.2",Remote,4.2,1,15,1001 to 5000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.2,4.0,4.3,yr
30,"$94,836 /yr (est.)",94836.0,Quality Assurance Engineer,0,1,-1,"Doctor Evidence
3.0","Santa Monica, CA",3.0,0,19,1 to 50 Employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),2.9,3.0,3.2,2.7,3.3,yr
31,$50.00 /hr (est.),104000.0,Manual Tester,1,1,0,"Devcare Solutions
3.7","Columbus, OH",3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,hr
32,"$75,000 /yr (est.)",75000.0,Manual QA Tester,0,2,-1,"Xactus
2.5","Broomall, PA",2.5,0,-1,-1,-1,-1,-1,-1,-1,2.7,2.1,2.2,2.4,3.0,yr
33,"$77,244 /yr (est.)",77244.0,Software Quality Assurance Engineer,0,1,-1,"ColdTrack
4.6",Remote,4.6,1,8,501 to 1000 Employees,2015,Company - Private,Shipping & Trucking,Transportation & Logistics,$25 to $100 million (USD),4.4,4.4,3.8,4.1,3.5,yr
34,"$131,890 /yr (est.)",131890.0,QA Analyst,5,1,0,"Citi
3.9","Jersey City, NJ",3.9,0,211,10000+ Employees,1812,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.9,3.8,3.8,3.5,3.5,yr
35,"$97,000 /yr (est.)",97000.0,QA Engineer,0,1,1,"Financial Times
4.2","New York, NY",4.2,0,135,1001 to 5000 Employees,1888,Subsidiary or Business Segment,Publishing,Media & Communication,Unknown / Non-Applicable,3.7,3.8,4.4,3.9,4.3,yr
36,$45.47 /hr (est.),94577.6,QA Automation Engineer,6,2,-1,"N9 it solutions
4.6",Remote,4.6,1,7,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.6,4.5,4.3,4.4,4.4,hr
37,"$57,500 /yr (est.)",57500.0,Web Quality Assurance Engineer - Remote,3,1,-1,Provision IAM,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
38,$52.50 /hr (est.),109200.0,Quality Test Engineer,1,1,-1,MPower Staffing & Consulting,"Chicago, IL",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
39,$45.00 /hr (est.),93600.0,Tosca Automation developer,-1,-1,-1,"Devcare Solutions
3.7",Remote,3.7,1,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,hr
40,$64.00 /hr (est.),133120.0,Locals Only : SDET/QA Automation Engineer : Missouri,0,2,1,"FiSec Global Inc
3.5","Aurora, MO",3.5,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.8,3.5,3.3,3.5,hr
41,$62.50 /hr (est.),130000.0,QA Automation Test Engineer,10,2,-1,Sripen,"Aurora, MO",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
42,"$95,000 /yr (est.)",95000.0,QA Engineer,5,2,-1,Pharmacy Quality Solutions,"Raleigh, NC",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
43,"$75,209 /yr (est.)",75209.0,QA Tester,0,-1,-1,"ActiveViam
4.0","New York, NY",4.0,0,18,51 to 200 Employees,2005,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.9,4.0,4.1,3.8,4.3,yr
44,"$73,500 /yr (est.)",73500.0,Full Stack QA Analyst/Engineer,-1,-1,-1,"eDist - A Division Of A.I. Smarter World, Inc.
2.1",Remote,2.1,1,50,51 to 200 Employees,1973,Company - Private,Wholesale,Retail & Wholesale,Unknown / Non-Applicable,2.2,2.8,2.0,2.0,2.8,yr
46,"$57,985 /yr (est.)",57985.0,QA Manual Tester,3,1,1,"Wovenware US
3.7","San Juan, PR",3.7,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.3,4.0,3.5,3.5,yr
50,"$54,382 /yr (est.)",54382.0,QA Tester,0,1,-1,"National Real Estate Insurance Group
2.7","Kansas City, MO",2.7,0,-1,-1,-1,-1,-1,-1,-1,2.7,3.5,2.8,2.6,3.5,yr
51,"$62,500 /yr (est.)",62500.0,QA Engineer,5,1,1,"XOJET Aviation
3.5","Fort Lauderdale, FL",3.5,0,17,201 to 500 Employees,2006,Company - Private,"Airlines, Airports & Air Transportation",Transportation & Logistics,$100 to $500 million (USD),3.6,3.5,3.6,3.3,3.4,yr
52,"$71,833 /yr (est.)",71833.0,QA Tester ETL/Database,5,2,-1,"Mitchell Martin
4.4","Charlotte, NC",4.4,0,39,501 to 1000 Employees,1984,Private Practice / Firm,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),4.3,4.3,4.4,4.4,4.5,yr
53,$16.00 /hr (est.),33280.0,Quality Assurance Representative,2,2,-1,"Alleviate Financial Solutions
3.6",Remote,3.6,1,5,1 to 50 Employees,2018,Company - Private,Debt Relief,Financial Services,Unknown / Non-Applicable,3.4,3.7,3.4,3.3,3.8,hr
56,"$72,000 /yr (est.)",72000.0,Software Quality Assurance Analyst,3,1,-1,"Suncoast Credit Union
4.0","Tampa, FL",4.0,0,89,1001 to 5000 Employees,1934,Nonprofit Organization,Banking & Lending,Financial Services,$100 to $500 million (USD),4.0,3.9,4.0,3.6,3.7,yr
57,"$70,834 /yr (est.)",70834.0,QA Engineer,10,2,-1,"CEDENT
5.0","Colorado Springs, CO",5.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
60,"$75,000 /yr (est.)",75000.0,Jr. QA Engineer,1,1,0,Repisodic,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
61,"$62,500 /yr (est.)",62500.0,QA Engineer,5,1,1,"XO
4.2","Fort Lauderdale, FL",4.2,0,-1,-1,-1,-1,-1,-1,-1,3.6,4.2,4.3,4.0,3.3,yr
62,"$75,000 /yr (est.)",75000.0,Intermediate QA Engineer,3,1,-1,"NuBinary Inc
3.4",Remote,3.4,1,6,1 to 50 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.1,3.7,3.0,3.7,2.7,yr
64,"$47,795 /yr (est.)",47795.0,QA Automated Tester,0,1,0,"INVID
4.8","San Juan, PR",4.8,0,20,1 to 50 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,4.4,4.7,4.2,4.6,yr
66,"$55,002 /yr (est.)",55002.0,Quality Assurance Analyst,5,1,-1,"Andor Health
4.5","Orlando, FL",4.5,0,5,51 to 200 Employees,2018,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.9,4.4,4.4,4.4,4.0,yr
67,"$75,000 /yr (est.)",75000.0,Software QA Analyst,5,2,-1,EPIC Engineering,"Winter Springs, FL",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
68,"$58,421 /yr (est.)",58421.0,Quality Consultant,1,1,-1,"Quality Consulting Group, LLC
5.0","Carolina, PR",5.0,0,12,51 to 200 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD),5.0,4.8,5.0,5.0,5.0,yr
70,$56.00 /hr (est.),116480.0,Senior Software Test Engineer,4,1,1,Kanini,"Decatur, GA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
