,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
96,"$85,000 /yr (est.)",85000.0,Sourcing Specialist (Starlink),-1,-1,-1,"SpaceX
4.0", WA,4.0,0,21,5001 to 10000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.1,3.8,3.8,3.4,2.7,2023-05-25 10:51:27.721818,yr
97,"$69,607 /yr (est.)",69607.0,Continuous Improvement Specialist,-1,-1,-1,"Allied Stone Inc
2.7", TX,2.7,0,24,501 to 1000 Employees,1999,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,2.3,2.0,2.2,2.4,2.9,2023-05-25 10:51:30.384821,yr
98,"$71,547 /yr (est.)",71547.0,Continuous Improvement Specialist,-1,-1,-1,"Metrie
3.6", WA,3.6,0,97,1001 to 5000 Employees,1926,Company - Private,Wood & Paper Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.4,3.6,3.4,3.4,3.7,2023-05-25 10:51:33.182569,yr
99,"$62,500 /yr (est.)",62500.0,SEO Specialist,-1,-1,-1,"RedRover Sales & Marketing Strategy
4.6", TN,4.6,0,17,1 to 50 Employees,2006,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4.6,4.4,4.5,4.3,4.0,2023-05-25 10:51:35.782313,yr
100,$31.00 /hr (est.),64480.0,Supply Chain Coordinator,-1,-1,-1,"MilliporeSigma
3.9", CA,3.9,0,9,10000+ Employees,2014,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,3.8,3.8,3.4,3.8,2023-05-25 10:51:38.553357,hr
101,$42.50 /hr (est.),88400.0,Lab Safety Specialist/Coordinator – Part Time (Contract),-1,-1,-1,"ReCode Therapeutics
4.7", CA,4.7,0,8,51 to 200 Employees,2015,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.3,4.7,5.0,4.7,4.7,2023-05-25 10:51:41.463704,hr
102,"$78,018 /yr (est.)",78018.0,Senior Supply Chain Specialist,-1,-1,-1,"Abiomed
3.7", MA,3.7,0,42,1001 to 5000 Employees,1981,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.9,3.8,3.6,3.2,2.8,2023-05-25 10:51:44.350626,yr
103,"$94,250 /yr (est.)",94250.0,Supply Chain Specialist (Hybrid),-1,-1,-1,"KLA
4.0", MI,4.0,0,47,5001 to 10000 Employees,1976,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.8,3.8,4.0,3.6,3.6,2023-05-25 10:51:46.992173,yr
104,"$68,500 /yr (est.)",68500.0,R&D Project Specialist,-1,-1,-1,Serenity Kids, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:51:49.577412,yr
105,"$65,000 /yr (est.)",65000.0,Marketing Specialist,-1,-1,-1,"Gehr Industries, Inc.", CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:51:54.771751,yr
107,"$82,658 /yr (est.)",82658.0,Production Planner Specialist,-1,-1,-1,"Stellant Systems
3.0", CA,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.6,2.9,2.2,2.2,3.5,2023-05-25 10:52:06.476697,yr
108,"$86,525 /yr (est.)",86525.0,Manufacturing Supervisor (B/Night-Shift) 72688,-1,-1,-1,"Samsung Austin Semiconductor
3.5", TX,3.5,0,27,1001 to 5000 Employees,1996,Subsidiary or Business Segment,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,3.5,3.7,3.1,2.9,3.2,2023-05-25 10:52:09.756251,yr
109,"$79,814 /yr (est.)",79814.0,NAO PAO Supply Chain Planner,-1,-1,-1,"CPChem
4.1", TX,4.1,0,23,1001 to 5000 Employees,2000,Company - Private,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.4,4.0,3.7,3.1,3.4,2023-05-25 10:52:12.355004,yr
110,"$70,000 /yr (est.)",70000.0,SEO Specialist,-1,-1,-1,American Silversmiths, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:52:15.292674,yr
