,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
388,"$84,116 /yr (est.)",84116.0,Maintenance & Reliability Engineer,-1,-1,-1,Cargill, PA,4.0,0,158,10000+ Employees,1865,Company - Private,Crop Production,Agriculture,Unknown / Non-Applicable,3.7,3.9,4.0,3.5,3.7,2023-05-25 10:37:49.235831,yr
389,"$79,926 /yr (est.)",79926.0,Mechanical Field Service Engineer,-1,-1,-1,Li-Cycle Corp, AZ,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.9,3.6,3.8,3.6,2023-05-25 10:37:54.410775,yr
390,"$95,000 /yr (est.)",95000.0,Maintenance Reliability Engineer II,-1,-1,-1,Specialty Granules, CA,3.5,0,100,501 to 1000 Employees,1923,Company - Private,Mining & Metals,"Energy, Mining & Utilities",$100 to $500 million (USD),4.3,3.8,3.4,2.9,3.1,2023-05-25 10:38:07.919190,yr
391,"$105,000 /yr (est.)",105000.0,Facilities Engineer,-1,-1,-1,Swarm Technologies, FL,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-25 10:38:13.117357,yr
392,"$97,400 /yr (est.)",97400.0,Maintenance Engineer (Mechanical),-1,-1,-1,BASF Corporation, OH,3.8,0,158,10000+ Employees,1865,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),3.6,4.1,3.7,3.2,3.5,2023-05-25 10:38:18.219320,yr
393,"$102,500 /yr (est.)",102500.0,Mechanical Maintenance Engineer,-1,-1,-1,Seaport Canaveral, FL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:38:23.747237,yr
394,"$112,258 /yr (est.)",112258.0,"Manager-Engineering Operations - Facilities Management (1.0 FTE, Days)",-1,-1,-1,Lucile Packard Children's Hospital, CA,4.0,0,32,5001 to 10000 Employees,1991,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.6,4.2,3.8,3.4,3.6,2023-05-25 10:38:31.419078,yr
396,"$105,000 /yr (est.)",105000.0,Facilities Engineer,-1,-1,-1,SpaceX, FL,4.0,0,21,5001 to 10000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.1,3.8,3.8,3.4,2.7,2023-05-25 10:38:42.611653,yr
397,"$72,656 /yr (est.)",72656.0,Director of Maintenance,-1,-1,-1,ProPetro Services, TX,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.3,3.1,2.8,2.5,2023-05-25 10:38:47.796227,yr
398,"$76,167 /yr (est.)",76167.0,Maintenance Reliability Engineer,-1,-1,-1,Loparex LLC, NC,3.2,0,117,Unknown,1906,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,3.0,3.8,2.7,2.4,3.3,2023-05-25 10:38:53.390983,yr
399,"$100,997 /yr (est.)",100997.0,I & E Engineer,-1,-1,-1,BASF Corporation, TX,3.8,0,158,10000+ Employees,1865,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),3.6,4.1,3.7,3.2,3.5,2023-05-25 10:38:59.371653,yr
400,"$80,588 /yr (est.)",80588.0,Mechanical Maintenance & Reliability Engineer,-1,-1,-1,Indorama Ventures, TX,3.6,0,29,10000+ Employees,1994,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),3.2,3.4,3.5,3.4,3.7,2023-05-25 10:39:04.837895,yr
401,"$86,500 /yr (est.)",86500.0,Maintenance Planner/Scheduler,-1,-1,-1,SLAC National Accelerator Laboratory, CA,4.1,0,61,1001 to 5000 Employees,1962,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.9,3.7,3.8,3.3,3.8,2023-05-25 10:39:10.088203,yr
